Amino acids	alpha-helix	beta-sheet
ALA	0.09399176627354269	0.07546494992846924
ARG	0.05429486287066685	0.04564556509298998
ASN	0.038105845150255564	0.040548998569384834
ASP	0.052286151826733754	0.04721030042918455
CYS	0.013782542113323124	0.01582618025751073
GLU	0.06948946918319047	0.044259656652360514
GLN	0.03939857998050954	0.031786480686695276
GLY	0.06461685328454088	0.077387339055794
HIS	0.024522185318509974	0.02919349070100143
ILE	0.060400548915097156	0.07175429184549356
LEU	0.1021857162745371	0.09375
LYS	0.05345955728804121	0.05704577968526466
MET	0.027942960561643564	0.023828683834048642
PHE	0.039577574033929315	0.04269492131616595
PRO	0.03786718641236252	0.03719599427753934
SER	0.05695988544380581	0.06598712446351931
THR	0.05135140510331934	0.06057761087267525
TRP	0.012350589685964877	0.01430615164520744
TYR	0.033889540780811835	0.04197961373390558
VAL	0.07352677949921442	0.0835568669527897
